Feature Set,Horizon,RMSE,MAE,MAPE (%),nRMSE (%),nMAE (%)
Exogenous Features,1,7114.630386037112,7114.630386037112,2.2874538009714103,2.2874538009714103,2.2874538009714103
Generated Features,1,9734.314012468327,9734.314012468327,3.1297189564998136,3.1297189564998136,3.1297189564998136
Both Exogenous & Generated,1,8857.374249697954,8857.374249697954,2.8477704806508264,2.8477704806508264,2.8477704806508264
Exogenous Features,7,45825.64831829204,41346.85971090974,12.82904851238744,14.403766102530216,12.996008091659675
Generated Features,7,18733.993335837207,17374.299248605592,5.579470458119381,5.88840677826369,5.461032233173841
Both Exogenous & Generated,7,19572.70462084042,18182.773810494866,5.830560533211736,6.152027733341737,5.715149281522295
Exogenous Features,30,50664.10507128026,49056.23749444008,14.920897809908684,15.459033790106428,14.968428475645265
Generated Features,30,10149.876301922091,7171.059720493333,2.2364302530563505,3.097010802738119,2.1880906486754266
Both Exogenous & Generated,30,10656.078796935697,7448.593401880096,2.314836057620984,3.2514673250440356,2.2727739279401913
Exogenous Features,90,40203.29237991427,36768.50708767461,11.482423655312552,12.814723169061,11.719891873920506
Generated Features,90,9792.509692604122,7428.948391496721,2.4137028667974176,3.1213438853521094,2.3679632049695947
Both Exogenous & Generated,90,9708.816327653141,7329.696758976496,2.3698318572665196,3.094666784064011,2.3363269354122416
Exogenous Features,180,32351.568817088493,26613.982850353786,8.810172589441613,11.139873629832763,9.164204908136483
Generated Features,180,11630.611364914485,8740.369487192946,3.0949999687899092,4.004861142140565,3.0096411124874223
Both Exogenous & Generated,180,11493.724243819746,8534.30276139455,3.0060933616701755,3.957725708333055,2.938684513823342
